Threshold Sweep (analysis)
percentile | threshold | F1 | Precision | Recall | TN | FP | FN | TP
 70.0% | thr=0.01716434 | F1=0.519 | Prec=0.350 | Rec=1.000 | TN=0 | FP=1745 | FN=0 | TP=940
 71.0% | thr=0.01772305 | F1=0.519 | Prec=0.350 | Rec=1.000 | TN=0 | FP=1745 | FN=0 | TP=940
 72.0% | thr=0.01829074 | F1=0.519 | Prec=0.350 | Rec=1.000 | TN=0 | FP=1745 | FN=0 | TP=940
 73.0% | thr=0.01888472 | F1=0.519 | Prec=0.350 | Rec=1.000 | TN=0 | FP=1745 | FN=0 | TP=940
 74.0% | thr=0.01948120 | F1=0.519 | Prec=0.350 | Rec=1.000 | TN=0 | FP=1745 | FN=0 | TP=940
 75.0% | thr=0.02004542 | F1=0.519 | Prec=0.350 | Rec=1.000 | TN=0 | FP=1745 | FN=0 | TP=940
 76.0% | thr=0.02065689 | F1=0.519 | Prec=0.350 | Rec=1.000 | TN=0 | FP=1745 | FN=0 | TP=940
 77.0% | thr=0.02127314 | F1=0.519 | Prec=0.350 | Rec=1.000 | TN=0 | FP=1745 | FN=0 | TP=940
 78.0% | thr=0.02190605 | F1=0.519 | Prec=0.350 | Rec=1.000 | TN=0 | FP=1745 | FN=0 | TP=940
 79.0% | thr=0.02254085 | F1=0.519 | Prec=0.351 | Rec=1.000 | TN=5 | FP=1740 | FN=0 | TP=940
 80.0% | thr=0.02322527 | F1=0.523 | Prec=0.354 | Rec=1.000 | TN=33 | FP=1712 | FN=0 | TP=940
 81.0% | thr=0.02395858 | F1=0.537 | Prec=0.367 | Rec=1.000 | TN=121 | FP=1624 | FN=0 | TP=940
 82.0% | thr=0.02473417 | F1=0.558 | Prec=0.387 | Rec=1.000 | TN=257 | FP=1488 | FN=0 | TP=940
 83.0% | thr=0.02552709 | F1=0.597 | Prec=0.425 | Rec=1.000 | TN=474 | FP=1271 | FN=0 | TP=940
 84.0% | thr=0.02649191 | F1=0.663 | Prec=0.496 | Rec=1.000 | TN=791 | FP=954 | FN=0 | TP=940
 85.0% | thr=0.02757388 | F1=0.708 | Prec=0.548 | Rec=1.000 | TN=971 | FP=774 | FN=0 | TP=940
 86.0% | thr=0.02885815 | F1=0.752 | Prec=0.603 | Rec=1.000 | TN=1126 | FP=619 | FN=0 | TP=940
 87.0% | thr=0.03035382 | F1=0.783 | Prec=0.644 | Rec=1.000 | TN=1225 | FP=520 | FN=0 | TP=940
 88.0% | thr=0.03236065 | F1=0.797 | Prec=0.662 | Rec=1.000 | TN=1266 | FP=479 | FN=0 | TP=940
 89.0% | thr=0.03526499 | F1=0.827 | Prec=0.706 | Rec=0.998 | TN=1355 | FP=390 | FN=2 | TP=938
 90.0% | thr=0.04033964 | F1=0.861 | Prec=0.760 | Rec=0.994 | TN=1450 | FP=295 | FN=6 | TP=934
 91.0% | thr=0.04560831 | F1=0.913 | Prec=0.845 | Rec=0.993 | TN=1574 | FP=171 | FN=7 | TP=933
 92.0% | thr=0.05268643 | F1=0.917 | Prec=0.893 | Rec=0.941 | TN=1639 | FP=106 | FN=55 | TP=885
 93.0% | thr=0.05813366 | F1=0.913 | Prec=0.915 | Rec=0.911 | TN=1665 | FP=80 | FN=84 | TP=856
 94.0% | thr=0.06348715 | F1=0.180 | Prec=0.588 | Rec=0.106 | TN=1675 | FP=70 | FN=840 | TP=100
 95.0% | thr=0.06959283 | F1=0.061 | Prec=0.317 | Rec=0.034 | TN=1676 | FP=69 | FN=908 | TP=32
 96.0% | thr=0.07972430 | F1=0.060 | Prec=0.316 | Rec=0.033 | TN=1678 | FP=67 | FN=909 | TP=31
 97.0% | thr=0.09874957 | F1=0.057 | Prec=0.358 | Rec=0.031 | TN=1693 | FP=52 | FN=911 | TP=29
 98.0% | thr=0.13097079 | F1=0.054 | Prec=0.397 | Rec=0.029 | TN=1704 | FP=41 | FN=913 | TP=27
 99.0% | thr=0.23428601 | F1=0.021 | Prec=0.385 | Rec=0.011 | TN=1729 | FP=16 | FN=930 | TP=10
 99.5% | thr=0.35845739 | F1=0.002 | Prec=0.333 | Rec=0.001 | TN=1743 | FP=2 | FN=939 | TP=1
