Epoch,Train_Loss,Calib_Loss
1,0.10186148364524299,0.027816555633829666
2,0.027222264433353103,0.024591637257308764
3,0.024696062805137132,0.02411653907265569
4,0.023912454672218954,0.02361849446028753
5,0.023612388977248804,0.023354136543053898
6,0.02339823535037487,0.023407694705110855
7,0.023157278884875173,0.022997382103436607
8,0.022995202932410128,0.023132825656853397
9,0.022972917118994123,0.02292740154149625
10,0.022883648596054223,0.02302526316939745
11,0.02284236217435357,0.023351277712320807
12,0.022733606977918923,0.02278573729479372
13,0.02269881524932702,0.02342100795635376
14,0.02267045302823909,0.022883843436784543
15,0.022620592033655355,0.023461439316369362
16,0.022639270753196696,0.0235986966962239
17,0.022602503569890072,0.023059090673057985
18,0.022556339607825434,0.022682941728981863
19,0.022558764126267908,0.023141917395554566
20,0.022498834626927786,0.022717543132393894
21,0.022533737229561087,0.023032686562994672
22,0.022494145356921225,0.023129019211182086
23,0.02247223369202857,0.022937450188606715
24,0.022433458104136297,0.022556313196556658
25,0.022410099203609462,0.022954340235410285
26,0.022438064752506686,0.02319253253477071
27,0.022427719015804308,0.023073019452603344
28,0.022395540694734997,0.02333999947383365
29,0.022390357177183167,0.0223415541998799
30,0.022369820984994643,0.02329875846282174
31,0.022338496768769353,0.023007494168495228
32,0.022334113479445382,0.02317889902121026
33,0.022322627880924328,0.02306791845899763
34,0.022311968992076516,0.023176095316645568
35,0.022312604914919182,0.023117753260721113
36,0.02228859244560975,0.023589737166452913
37,0.022298917833933556,0.02297767050855621
38,0.022266886959936366,0.023133535250736074
39,0.02228819478784267,0.022946528687675997
